#ID,M1,M2,M3,M4,M5,M6,M7,M8
gene-Olfr229,0,0,0,0,0,0,0,0
gene-Olfr228,0,0,0,0,0,0,0,0
gene-Olfr223,0,0,0,0,0,0,0,0
gene-Olfr222,0,0,0,0,0,0,0,0
gene-Olfr221,0,0,0,0,0,0,0,0
gene-Olfr220,0,0,0,0,0,0,0,0
gene-Olfr225,0.044845,0,0,0,0,0,0,0
gene-Olfr224,0,0,0,0,0,0,0,0
gene-Psmc6,128.479614,123.616858,127.285939,126.383125,133.375815,120.486489,60.109925,74.693188
gene-Psmc5,108.959259,98.704086,114.007362,123.79348,130.576874,119.633736,64.901527,76.008011
gene-Psmc4,84.297028,81.886986,81.385872,93.267792,95.719894,89.575066,62.228832,98.065552
gene-Psmc3,127.061417,121.829781,128.163742,133.117477,146.856125,139.837204,85.776367,137.166077
gene-Psmc2,99.924819,97.008927,101.536865,116.542864,114.697274,112.507225,66.390891,95.997264
gene-Psmc1,115.859917,107.006111,108.681473,123.289619,124.556816,122.322708,87.944572,114.006981
gene-Ubac1,8.041578,8.966664,8.863853,9.064183,9.313206,9.578845,12.461718,10.425321
gene-Ubac2,17.65417,14.885524,14.53102,17.393985,19.268093,19.162072,14.866645,19.995363
gene-Gm13043-2,0,0,0,0,0,0,0,0
gene-Uap1l1,38.161156,35.859936,35.496281,40.794643,44.107273,45.628819,116.360687,61.650173
gene-Olfr1396-2,0,0,0,0,0,0,0,0.026592
gene-Snx18,12.329133,12.438039,12.796951,12.431018,15.442996,15.553049,34.460503,19.702271
gene-Snx19,5.072659,5.942867,6.238949,6.502907,6.46883,7.114874,7.90652,7.215915
gene-Olfr593,0,0,0,0,0,0,0,0
gene-Olfr592,0,0,0,0,0,0,0,0
gene-Olfr594,0,0,0,0,0,0,0,0
gene-Olfr597,0,0,0,0,0,0,0,0
gene-Olfr596,0,0,0,0,0,0,0,0
gene-Snx10,32.679503,33.982603,42.034777,34.448447,38.365217,42.865513,47.09144,39.064227
gene-Snx11,6.553062,6.658111,6.285499,7.472419,9.100487,7.567346,21.56493,18.242279
gene-Snx12,28.360113,25.715602,25.727465,29.237259,30.177927,33.101097,37.836529,25.99728
gene-Snx13,5.548433,6.534,6.215668,6.151701,6.174751,7.099716,8.432521,6.982177
gene-Snx14,13.926487,15.582693,12.522503,13.370379,11.394451,12.704371,13.31027,16.801772
gene-Snx15,8.618525,9.095948,10.495113,8.661252,8.413884,10.605557,21.23513,15.863199
gene-Snx16,2.510657,2.420759,2.89575,2.629373,2.613955,3.311425,3.648806,2.005975
gene-Snx17,47.515077,47.206336,42.85821,48.887783,47.240431,50.327343,45.974736,61.035159
gene-Hoxc6,12.84798,14.047892,12.386309,10.584415,7.962203,7.003688,0.004483,0
gene-Gm2042,0,0,0,0,0,0,0,0
gene-Gm2046,0,0,0,0,0,0,0,0
gene-Pramel1,0,0,0,0,0,0,0,0
gene-Hoxc5,3.136107,2.699405,1.466036,1.792428,1.916415,1.670829,0,0
gene-Cfap161,0.122521,0.211663,0.220918,0.153699,0.404869,0.283409,0,0
NewGene_717,0,0,0,0,0.11442,0,0.287673,0.399909
NewGene_716,0,0.637549,0.053214,0.102706,0.370583,0.313592,0.35057,0.988815
NewGene_715,0.415363,0,0,0,0,0.087624,0,0
gene-Slc24a5,0.056524,0,0,0,0,0,0.824863,0.853619
gene-Slc24a4,0,0,0,0,0,0,0,0
gene-Cyp4f39,0,0.019798,0,0,0,0.036142,0,0
gene-Slc24a1,0,0,0,0.009647,0.026586,0.01829,0.054906,0
gene-Slc24a3,0.044972,0.37772,0.255707,0.031298,0.693532,0.537793,2.551574,1.328812
gene-Slc24a2,0,0,0,0,0,0,0,0
gene-Cyp4f37,0,0,0,0,0,0,0.086324,0.269378
gene-Apol10b,5.401259,7.045432,15.918155,8.98763,9.306074,11.277835,0.515578,0.039051
gene-Apol10a,0,0.008431,0.04965,0.023548,0,0,0,0.017087
gene-Ppp1r42,0,0,0,0,0,0,0,1.002751
NewGene_1089,0.171837,0.151128,0.690208,0.238369,0.536439,0.645946,0,0
NewGene_1088,0,0,0.483368,0.494914,0.538328,0.651949,0.808759,1.161015
NewGene_1082,0,0,0,0.136738,0.274928,0,0,0
NewGene_1087,0,0.086592,0.420549,0,0.056752,0,0.182173,0.403941
NewGene_1086,0.405575,0.83618,1.017689,0.858911,1.018593,0.469113,7.363198,2.20297
NewGene_1085,0,0,0.073449,0,0,0,0,0.290416
NewGene_1084,0,0,0,0,0,0,0.234483,0.244686
NewGene_3816,0,0,0.052358,0,0.470736,0.642642,0,0
gene-Prickle4,0.524402,0.917722,0.787251,1.057772,0.578264,0.576172,0.405431,0.804208
NewGene_3815,0,0,0,0,0.510418,0.822432,0,0
NewGene_3812,0,0.078295,0,0,0.449144,0.545078,0,0
NewGene_3813,0,0.704906,0,0,0,0.513197,0,0
gene-Prickle3,1.687008,1.829073,1.210492,1.359118,1.373519,1.922075,4.953815,8.405039
NewGene_3811,0,1.109878,0,0.203077,0,0.219785,0,0
gene-Rnps1,175.484002,164.185584,159.770336,164.459475,169.230926,149.14911,65.516415,86.221466
NewGene_3818,0,0,0,0,0,0.435723,0,0
NewGene_3819,0,0,0,0,0.4495,0.29218,0,0
gene-Ptcra,0,0,0,0,0,0,0.037714,0
gene-Pgap4,2.412316,1.692809,1.52418,1.693486,0.750222,0.930629,0.112551,0.201679
gene-E030030I06Rik,3.443323,1.848838,2.494905,2.766858,3.779518,2.173308,1.921476,0.89662
gene-Gm5891,0,0,0,0,0,0,0,0
gene-Rps3a1,2072.896484,1700.964355,1699.088135,1683.067261,1652.790405,1410.531494,644.979858,1270.734741
gene-Gm9295,0.142492,0.06967,0.01671,0.120907,0.070895,0.051305,0,0
gene-Zscan30,0.291248,0.17485,0.189029,0.155805,0.093181,0.368339,0.600621,0.834147
gene-Tnfrsf10b,6.816119,7.827305,8.301466,7.623378,6.622903,7.026648,4.98823,1.803444
gene-Tmem50a,103.956776,101.448006,104.848309,101.951706,105.141815,114.093193,157.520287,150.012302
gene-Zim1,0,0,0,0,0,0.0062,0,0
gene-Flywch2,0.137223,0.051035,0.324082,0,0.490807,0.829309,0.360375,1.686454
gene-Mlf1,0,0,0.141968,0,1.122184,0.436781,0.234228,0.593701
gene-Mlf2,134.846004,131.726164,131.469855,153.891877,141.088234,142.078909,109.465425,90.58805
gene-Hhatl,0,0,0.034018,0.046911,0,0,0,0
gene-Agtr2,0.147447,0.054141,0.135352,0.034991,0.065126,0.339064,0,0
gene-Clptm1,31.363957,29.544799,22.909326,29.038777,34.722778,33.660609,56.091503,47.30054
gene-Atp2b4,2.267348,2.595057,2.489135,3.861901,3.70392,4.034664,1.730597,1.346899
gene-Lpcat2b,0,0,0,0,0,0,0,0
